Date	Time	Severity	Direction	Truck	Postmile
20050110	1130	Complaint of Pain	N	FALSE	16.166
20050110	1230	Property Damage	S	TRUE	12.87
20050110	1520	Property Damage	N	TRUE	24.123
20050111	0915	Visible Injury	N	TRUE	9.51
20050111	1100	Property Damage	S	FALSE	13.52
20050111	1430	Property Damage	N	FALSE	27.36
20050111	1720	Property Damage	N	TRUE	13.63
20050111	2245	Visible Injury	N	FALSE	16.75
20050112	0800	Property Damage	S	FALSE	15.437
20050112	0915	Property Damage	S	FALSE	10.2
20050112	1505	Complaint of Pain	N	FALSE	26.42
20050112	2055	Property Damage	S	TRUE	21.931
20050113	1035	Property Damage	S	TRUE	10.58
20050113	1530	Property Damage	N	FALSE	19.504
20050113	1700	Property Damage	N	FALSE	15.89
20050114	0238	Complaint of Pain	S	FALSE	22.3
20050114	0315	Visible Injury	N	FALSE	20.83
20050114	0645	Property Damage	N	FALSE	7.93
20050114	0745	Complaint of Pain	N	FALSE	18.44
20050114	0900	Fatal	S	TRUE	16.24
20050114	1035	Visible Injury	N	TRUE	14.89
20050114	1150	Property Damage	S	FALSE	10.72
20050114	1320	Property Damage	N	FALSE	26.39
20050114	1445	Property Damage	S	TRUE	27.31
20050114	1540	Property Damage	N	FALSE	14.5
20050114	1810	Property Damage	N	TRUE	26.2
20050115	0820	Property Damage	N	TRUE	23.36
20050115	0900	Property Damage	N	TRUE	17.47
20050115	2100	Property Damage	S	FALSE	19.82
20050115	2315	Property Damage	N	FALSE	9.11
20050116	0153	Visible Injury	N	FALSE	12.9
20050116	1750	Property Damage	S	FALSE	6.48
20050116	2130	Visible Injury	S	FALSE	19.44
20050116	2145	Visible Injury	S	FALSE	20.31
20050117	0639	Visible Injury	S	FALSE	25.21
20050118	1030	Complaint of Pain	N	FALSE	18.59
20050118	1135	Property Damage	N	FALSE	12.04
20050118	1625	Property Damage	N	TRUE	21.808
20050118	1650	Property Damage	S	FALSE	22.5
20050118	1800	Property Damage	N	FALSE	10.73
20050118	1801	Property Damage	N	FALSE	10.71
20050118	2030	Complaint of Pain	S	FALSE	24.71
20050118	2145	Property Damage	N	FALSE	10.922
20050118	2203	Property Damage	N	FALSE	24.22
20050119	0740	Complaint of Pain	S	FALSE	13.115
20050119	0745	Complaint of Pain	S	FALSE	32.2
20050119	0919	Property Damage	S	TRUE	16.18
20050119	1128	Property Damage	N	TRUE	17.06
20050119	1150	Property Damage	S	FALSE	19.32
20050119	1330	Property Damage	S	TRUE	23.27
20050119	1340	Property Damage	N	TRUE	16.71
20050119	1834	Property Damage	S	FALSE	24.86
20050120	0840	Property Damage	S	FALSE	9.1
20050120	0915	Property Damage	S	FALSE	10.84
20050120	1055	Complaint of Pain	S	TRUE	9.51
20050120	1615	Property Damage	S	FALSE	18.62
20050120	1810	Complaint of Pain	S	FALSE	24.6
20050121	0515	Property Damage	S	TRUE	18.35
20050121	1045	Property Damage	N	TRUE	6.43
20050121	1133	Visible Injury	N	FALSE	19.39
20050121	1750	Property Damage	S	FALSE	21.98
20050121	1830	Complaint of Pain	S	FALSE	23.17
20050121	1946	Property Damage	N	TRUE	18.5
20050121	2140	Visible Injury	N	FALSE	7.91
20050121	2150	Property Damage	S	FALSE	20.26
20050122	0202	Property Damage	N	FALSE	13.02
20050122	0245	Property Damage	S	FALSE	25.38
20050122	2130	Property Damage	N	FALSE	24.68
20050122	2345	Property Damage	S	FALSE	17.09
20050123	1045	Property Damage	S	FALSE	22.66
20050123	1430	Property Damage	S	FALSE	17.03
20050124	0240	Property Damage	N	FALSE	26.33
20050124	1500	Property Damage	N	FALSE	7.85
20050125	0553	Property Damage	S	FALSE	31.75
20050125	1225	Property Damage	N	TRUE	12.79
20050126	0815	Property Damage	S	TRUE	19.893
20050126	1005	Property Damage	N	FALSE	22.41
20050126	2115	Visible Injury	N	TRUE	21.99
20050127	1423	Property Damage	S	TRUE	18.663
20050127	1513	Property Damage	S	FALSE	23.83
20050128	0700	Property Damage	N	FALSE	20.04
20050128	1035	Complaint of Pain	S	TRUE	12.86
20050128	1155	Complaint of Pain	S	TRUE	19.78
20050128	1305	Property Damage	S	TRUE	15.42
20050128	1345	Property Damage	S	TRUE	15.199
20050128	1525	Property Damage	S	FALSE	9.43
20050128	1645	Property Damage	N	FALSE	24.48
20050128	1810	Visible Injury	S	FALSE	24.88
20050128	1825	Property Damage	N	FALSE	19.504
20050129	1250	Property Damage	S	FALSE	21.81
20050129	1440	Property Damage	S	FALSE	14.4
20050129	1730	Property Damage	S	FALSE	9.32
20050129	2250	Property Damage	N	FALSE	26.44
20050130	0010	Property Damage	N	FALSE	23.36
20050130	0355	Property Damage	N	FALSE	18.31
20050130	1240	Visible Injury	S	FALSE	20.22
20050130	1640	Property Damage	N	FALSE	26.32
20050130	1800	Property Damage	S	FALSE	9.42
20050130	1845	Property Damage	S	FALSE	23.71
20050131	0035	Property Damage	N	FALSE	5.057
20050131	0551	Property Damage	S	FALSE	26.423
20050131	0552	Property Damage	S	FALSE	23.87
20050131	0555	Complaint of Pain	N	FALSE	7.46
20050131	1730	Complaint of Pain	N	FALSE	6.476
20050131	2035	Complaint of Pain	N	FALSE	7.89
20050201	0810	Property Damage	N	TRUE	18.42
20050201	1155	Property Damage	S	FALSE	20.52
20050201	1725	Visible Injury	S	FALSE	12.769
20050201	1800	Property Damage	S	FALSE	9.51
20050202	1100	Complaint of Pain	N	FALSE	19.621
20050202	1155	Property Damage	N	TRUE	6.48
20050202	1230	Property Damage	S	TRUE	22.063
20050202	1410	Property Damage	S	TRUE	12.11
20050202	1530	Property Damage	S	FALSE	24.51
20050202	1950	Property Damage	N	FALSE	14.93
20050203	0845	Property Damage	S	FALSE	24.49
20050203	1120	Property Damage	N	TRUE	22.48
20050203	1615	Property Damage	N	FALSE	14.02
20050204	0105	Property Damage	S	FALSE	11.9
20050204	0500	Property Damage	N	FALSE	23.48
20050204	0745	Property Damage	S	FALSE	13.89
20050204	0922	Property Damage	S	TRUE	12.69
20050204	0945	Complaint of Pain	N	TRUE	18.316
20050204	1335	Property Damage	S	TRUE	12.11
20050204	1440	Complaint of Pain	N	FALSE	15.329
20050204	1500	Complaint of Pain	S	TRUE	18.06
20050204	1645	Property Damage	S	TRUE	22.498
20050204	1710	Property Damage	S	TRUE	15.99
20050204	1803	Property Damage	N	FALSE	15.82
20050204	1840	Complaint of Pain	S	FALSE	19.83
20050204	1920	Property Damage	N	FALSE	22.02
20050204	2200	Visible Injury	S	FALSE	26.21
20050204	2310	Complaint of Pain	N	FALSE	23.27
20050205	0630	Property Damage	S	FALSE	14.23
20050205	0942	Property Damage	N	TRUE	7.93
20050205	1500	Property Damage	S	TRUE	22.57
20050205	2225	Property Damage	S	FALSE	20.01
20050206	0300	Property Damage	N	FALSE	22.41
20050206	0325	Property Damage	N	FALSE	19.5
20050206	1200	Property Damage	S	FALSE	17.44
20050206	1627	Property Damage	N	FALSE	16.862
20050206	2340	Visible Injury	N	FALSE	16.862
20050207	0810	Complaint of Pain	S	TRUE	12.7
20050207	0830	Property Damage	S	TRUE	9.18
20050207	1000	Complaint of Pain	S	FALSE	10.95
20050207	1030	Property Damage	S	FALSE	12.31
20050207	1045	Complaint of Pain	S	FALSE	13.25
20050207	1050	Property Damage	S	FALSE	12.78
20050207	1630	Property Damage	N	TRUE	9.31
20050207	1820	Property Damage	N	FALSE	7.9
20050208	0315	Property Damage	S	FALSE	19.893
20050208	0920	Property Damage	N	FALSE	9.84
20050208	1400	Property Damage	S	FALSE	20.94
20050208	1506	Property Damage	S	FALSE	24.71
20050208	1553	Property Damage	N	TRUE	15.899
20050208	1642	Severe Injury	N	FALSE	12.78
20050208	1730	Complaint of Pain	S	FALSE	8.055
20050208	1735	Property Damage	N	TRUE	22.154
20050208	2215	Property Damage	N	FALSE	16.8
20050209	0630	Complaint of Pain	S	FALSE	15.9
20050209	0700	Property Damage	S	TRUE	10.33
20050209	0855	Complaint of Pain	N	FALSE	23.313
20050209	0914	Complaint of Pain	S	TRUE	13.75
20050209	1030	Visible Injury	S	FALSE	20.29
20050209	1150	Property Damage	S	TRUE	18.42
20050209	1205	Visible Injury	N	FALSE	25.41
20050209	1305	Complaint of Pain	S	FALSE	20.96
20050209	1720	Property Damage	N	FALSE	7.99
20050210	0745	Property Damage	N	TRUE	14.65
20050210	0750	Complaint of Pain	N	FALSE	16.863
20050210	0855	Property Damage	N	TRUE	6.58
20050210	1430	Property Damage	N	TRUE	13.95
20050210	1710	Property Damage	N	FALSE	15.899
20050210	2007	Property Damage	N	FALSE	18.554
20050211	0439	Complaint of Pain	N	TRUE	13.94
20050211	0445	Complaint of Pain	N	FALSE	13.96
20050211	0600	Visible Injury	N	FALSE	6.51
20050211	1255	Complaint of Pain	S	FALSE	13.65
20050211	1735	Property Damage	N	FALSE	10.62
20050211	2040	Property Damage	S	FALSE	21.81
20050211	2050	Property Damage	S	FALSE	20.13
20050211	2140	Complaint of Pain	N	FALSE	10.78
20050211	2150	Property Damage	S	FALSE	14.91
20050212	0115	Visible Injury	S	FALSE	18.96
20050212	0150	Property Damage	N	FALSE	24.21
20050212	1300	Complaint of Pain	S	FALSE	10.88
20050212	2010	Property Damage	N	FALSE	10.56
20050212	2325	Visible Injury	S	FALSE	25.35
20050213	0205	Property Damage	S	FALSE	7.99
20050213	2300	Property Damage	N	FALSE	23.51
20050214	1400	Property Damage	S	TRUE	24.45
20050214	1410	Property Damage	S	TRUE	9.04
20050214	1920	Complaint of Pain	S	FALSE	25.42
20050214	2205	Property Damage	N	FALSE	21.8
20050215	0748	Property Damage	N	FALSE	22.55
20050215	0749	Property Damage	N	FALSE	22.54
20050215	0812	Property Damage	S	TRUE	9.12
20050215	0841	Property Damage	N	FALSE	26.28
20050215	0900	Property Damage	S	FALSE	10.29
20050215	1000	Property Damage	S	TRUE	12.97
20050215	1045	Property Damage	S	FALSE	13.97
20050215	1220	Property Damage	S	TRUE	9.624
20050216	0632	Complaint of Pain	S	FALSE	24.09
20050216	0705	Complaint of Pain	N	FALSE	18.628
20050216	0730	Property Damage	S	FALSE	24.24
20050216	0731	Property Damage	S	FALSE	24.24
20050216	0939	Property Damage	N	TRUE	7.89
20050216	1500	Complaint of Pain	S	FALSE	8.96
20050216	1530	Property Damage	S	FALSE	19.892
20050217	0815	Complaint of Pain	S	TRUE	9.624
20050217	1000	Property Damage	N	FALSE	19.34
20050217	1124	Property Damage	S	FALSE	16.22
20050217	1215	Property Damage	N	FALSE	23.313
20050217	1440	Property Damage	S	FALSE	24.32
20050217	1457	Complaint of Pain	N	FALSE	18.553
20050218	0920	Property Damage	N	TRUE	22.03
20050218	1055	Complaint of Pain	S	TRUE	25.26
20050218	2120	Property Damage	S	FALSE	27.354
20050218	2219	Complaint of Pain	N	FALSE	6
20050219	0526	Complaint of Pain	N	FALSE	7.93
20050219	0545	Property Damage	S	FALSE	16.89
20050219	0556	Property Damage	S	FALSE	16.88
20050219	0556	Property Damage	S	TRUE	16.89
20050219	0557	Property Damage	S	FALSE	16.88
20050219	0558	Complaint of Pain	S	FALSE	16.87
20050219	0705	Property Damage	S	FALSE	20.03
20050219	0830	Property Damage	N	FALSE	21.76
20050219	2216	Property Damage	N	FALSE	23.53
20050220	0140	Property Damage	S	FALSE	23.47
20050220	1200	Property Damage	S	FALSE	22.43
20050220	1330	Complaint of Pain	N	FALSE	16.862
20050220	1400	Complaint of Pain	N	FALSE	13.264
20050220	1625	Property Damage	N	FALSE	18.62
20050220	1626	Property Damage	N	FALSE	18.04
20050220	1645	Property Damage	N	FALSE	17.29
20050220	1811	Property Damage	S	FALSE	18.663
20050220	2305	Visible Injury	S	FALSE	18.53
20050220	2319	Complaint of Pain	N	FALSE	9.51
20050221	0158	Property Damage	N	FALSE	6.12
20050221	0403	Property Damage	S	FALSE	18.74
20050221	0555	Property Damage	N	FALSE	10.77
20050221	1240	Property Damage	N	FALSE	19.49
20050221	1920	Property Damage	N	TRUE	23.134
20050221	2320	Property Damage	S	FALSE	19.62
20050222	0545	Complaint of Pain	N	FALSE	10.922
20050222	1345	Property Damage	N	TRUE	9.6
20050223	0815	Property Damage	S	FALSE	10.85
20050223	1010	Property Damage	N	TRUE	10.49
20050224	0555	Complaint of Pain	N	FALSE	18.24
20050224	0917	Property Damage	N	FALSE	10.72
20050224	0935	Property Damage	N	TRUE	17.31
20050224	1240	Property Damage	N	FALSE	18.19
20050224	1330	Property Damage	N	FALSE	16.94
20050224	1400	Property Damage	N	TRUE	19.77
20050224	1935	Property Damage	N	FALSE	19.68
20050225	0210	Property Damage	S	FALSE	9.93
20050225	0745	Property Damage	N	FALSE	20.19
20050225	0920	Complaint of Pain	N	FALSE	27.387
20050225	1020	Property Damage	S	FALSE	6.63
20050225	1140	Property Damage	N	TRUE	14.43
20050225	2029	Property Damage	N	FALSE	18.313
20050225	2202	Property Damage	N	FALSE	22.57
20050225	2204	Property Damage	N	FALSE	22.48
20050226	0100	Property Damage	S	FALSE	26.54
20050227	0455	Complaint of Pain	S	FALSE	7.89
20050227	0755	Property Damage	N	TRUE	16.55
20050227	0810	Property Damage	N	FALSE	17.03
20050227	0811	Property Damage	N	TRUE	17.02
20050227	1730	Visible Injury	N	FALSE	21.9
20050227	2125	Visible Injury	N	FALSE	8.09
20050228	1210	Property Damage	N	TRUE	17.73
20050228	1530	Property Damage	N	FALSE	18.45
20050228	1820	Property Damage	N	FALSE	12.94
20050301	1550	Property Damage	S	TRUE	22.95
20050301	2105	Property Damage	S	TRUE	19.84
20050302	0600	Severe Injury	N	TRUE	5.98
20050302	1240	Property Damage	S	FALSE	9.51
20050302	1520	Property Damage	S	TRUE	15.03
20050302	1650	Severe Injury	S	FALSE	24.709
20050302	1700	Property Damage	S	FALSE	11.861
20050302	1800	Property Damage	N	FALSE	27.42
20050302	1930	Property Damage	S	FALSE	23.24
20050303	0620	Property Damage	N	FALSE	16.24
20050303	0855	Property Damage	N	TRUE	23.44
20050303	1250	Property Damage	S	FALSE	9.51
20050303	2050	Property Damage	N	FALSE	22.05
20050304	0315	Complaint of Pain	S	FALSE	9.624
20050304	0925	Property Damage	N	TRUE	15.06
20050304	1110	Complaint of Pain	S	FALSE	9.16
20050304	1325	Property Damage	N	FALSE	26.173
20050304	1715	Property Damage	N	TRUE	19.881
20050304	1840	Property Damage	N	TRUE	24.816
20050304	2315	Visible Injury	S	FALSE	13.9
20050305	2330	Property Damage	S	FALSE	9.69
20050306	0700	Property Damage	S	FALSE	24.46
20050306	1650	Complaint of Pain	N	FALSE	14.99
20050307	0230	Property Damage	S	FALSE	6.98
20050307	0430	Property Damage	S	FALSE	18.663
20050307	0825	Property Damage	N	TRUE	21.52
20050307	1050	Property Damage	S	FALSE	8.055
20050307	1230	Complaint of Pain	N	FALSE	19.34
20050307	1745	Property Damage	N	TRUE	22.567
20050307	2305	Severe Injury	S	FALSE	18.196
20050307	2306	Property Damage	S	FALSE	18.3
20050307	2320	Property Damage	N	FALSE	20.91
20050308	0550	Property Damage	S	TRUE	12.11
20050308	0715	Property Damage	S	TRUE	6.9
20050308	1408	Property Damage	N	FALSE	26.28
20050308	1730	Property Damage	N	FALSE	15.899
20050308	1900	Property Damage	N	TRUE	18.553
20050308	2050	Property Damage	S	FALSE	16.004
20050309	0840	Property Damage	N	TRUE	16.61
20050309	1040	Property Damage	S	FALSE	12.31
20050309	1046	Complaint of Pain	S	FALSE	24.46
20050309	1538	Property Damage	S	FALSE	24.65
20050310	0615	Property Damage	N	FALSE	21.82
20050310	0700	Property Damage	N	FALSE	14.93
20050310	1640	Property Damage	N	FALSE	22.154
20050310	1800	Property Damage	S	FALSE	9.624
20050311	1645	Property Damage	S	FALSE	24.21
20050312	0001	Complaint of Pain	S	FALSE	24.31
20050312	0003	Complaint of Pain	S	FALSE	24.3
20050312	0020	Visible Injury	N	FALSE	7.93
20050312	0145	Property Damage	N	FALSE	8.97
20050312	0255	Property Damage	N	FALSE	8.18
20050312	1345	Property Damage	N	FALSE	23.134
20050312	1800	Property Damage	S	FALSE	22.98
20050312	2335	Property Damage	S	FALSE	24.1
20050313	1247	Property Damage	N	FALSE	9.39
20050313	2130	Property Damage	S	FALSE	9.43
20050313	2355	Visible Injury	S	FALSE	17.248
20050314	0800	Property Damage	N	TRUE	24.35
20050314	1440	Property Damage	N	TRUE	19.56
20050314	1455	Property Damage	N	TRUE	19.75
20050314	1610	Property Damage	S	FALSE	24.65
20050314	1720	Property Damage	S	FALSE	8.19
20050314	2145	Property Damage	N	FALSE	17.23
20050314	2150	Property Damage	N	FALSE	17.24
20050315	0700	Property Damage	N	FALSE	14.761
20050315	0847	Visible Injury	N	FALSE	14.15
20050315	1033	Complaint of Pain	S	FALSE	23.71
20050315	2135	Property Damage	N	FALSE	11.34
20050316	1330	Property Damage	N	FALSE	15.02
20050316	1635	Property Damage	N	TRUE	18.5
20050316	1705	Property Damage	S	TRUE	22.64
20050316	1915	Property Damage	S	FALSE	21.99
20050317	0458	Property Damage	N	FALSE	16.64
20050317	0500	Property Damage	N	FALSE	16.65
20050317	0800	Complaint of Pain	S	TRUE	19.42
20050317	0850	Complaint of Pain	S	TRUE	10.82
20050317	1420	Complaint of Pain	S	FALSE	21.9
20050317	1625	Property Damage	S	FALSE	9.76
20050317	2148	Property Damage	N	FALSE	16.72
20050318	0845	Complaint of Pain	S	FALSE	13.06
20050318	1140	Property Damage	N	FALSE	15.01
20050318	1300	Property Damage	S	FALSE	22.063
20050318	1450	Property Damage	S	FALSE	23.05
20050318	1530	Property Damage	S	FALSE	13.92
20050318	1710	Property Damage	N	TRUE	17.114
20050318	1815	Property Damage	N	FALSE	10.72
20050318	1930	Property Damage	N	FALSE	19.621
20050319	0120	Property Damage	S	FALSE	23.51
20050319	0140	Fatal	N	FALSE	24.532
20050319	0235	Property Damage	N	FALSE	12.31
20050319	0655	Property Damage	N	FALSE	9.306
20050319	1235	Property Damage	S	FALSE	19.501
20050319	1555	Property Damage	S	FALSE	7.89
20050320	0055	Complaint of Pain	N	FALSE	15.187
20050320	0105	Visible Injury	S	FALSE	13.58
20050320	0210	Property Damage	N	FALSE	20.9
20050320	0223	Property Damage	S	FALSE	23.707
20050320	0240	Property Damage	S	FALSE	13.65
20050320	0343	Complaint of Pain	S	FALSE	17.92
20050320	1315	Property Damage	N	FALSE	17.08
20050320	1450	Property Damage	N	FALSE	6.93
20050320	2014	Property Damage	N	FALSE	5.057
20050320	2225	Property Damage	S	FALSE	8.97
20050321	0545	Property Damage	N	FALSE	18.43
20050321	1210	Property Damage	N	TRUE	13.42
20050321	1305	Property Damage	S	TRUE	12.69
20050321	1515	Complaint of Pain	S	FALSE	23.75
20050321	2055	Property Damage	S	TRUE	19.41
20050321	2109	Property Damage	S	FALSE	22.06
20050321	2110	Visible Injury	S	FALSE	22.07
20050322	0555	Property Damage	N	FALSE	14.76
20050322	0905	Property Damage	N	TRUE	6.89
20050322	1732	Property Damage	S	FALSE	21.02
20050322	2045	Property Damage	S	TRUE	16.95
20050322	2120	Complaint of Pain	N	FALSE	12.92
20050323	0845	Property Damage	S	FALSE	17.32
20050323	2125	Property Damage	S	FALSE	12.871
20050323	2200	Property Damage	S	FALSE	12.79
20050324	0630	Property Damage	S	FALSE	8.07
20050324	0710	Property Damage	N	FALSE	22.66
20050324	0712	Property Damage	N	TRUE	23.43
20050324	0810	Visible Injury	N	FALSE	25.07
20050324	1200	Property Damage	N	TRUE	26.173
20050324	1430	Property Damage	S	TRUE	12.31
20050324	1450	Visible Injury	N	FALSE	16.21
20050324	1520	Complaint of Pain	S	TRUE	12.871
20050324	1700	Property Damage	S	FALSE	24.709
20050324	1800	Complaint of Pain	N	FALSE	25.24
20050324	1930	Complaint of Pain	N	FALSE	13.811
20050325	0940	Property Damage	N	TRUE	6.08
20050325	1400	Complaint of Pain	S	FALSE	26.45
20050325	1435	Property Damage	N	FALSE	23.26
20050325	1455	Property Damage	S	FALSE	24.21
20050325	2325	Severe Injury	S	FALSE	10.26
20050326	0131	Property Damage	S	FALSE	26.55
20050326	0420	Complaint of Pain	S	FALSE	17.61
20050326	0445	Property Damage	S	FALSE	10.81
20050326	0454	Property Damage	S	FALSE	10.81
20050326	0600	Property Damage	N	FALSE	26.34
20050326	1500	Property Damage	N	FALSE	19.621
20050327	0133	Property Damage	S	FALSE	22.49
20050327	0210	Property Damage	N	FALSE	7.99
20050327	1525	Property Damage	S	FALSE	26.35
20050327	1600	Property Damage	S	TRUE	13.65
20050328	1620	Property Damage	N	TRUE	18.54
20050328	2133	Property Damage	N	FALSE	14.761
20050329	0655	Property Damage	N	FALSE	16.97
20050329	1115	Complaint of Pain	N	TRUE	12.04
20050329	1135	Property Damage	S	FALSE	12.79
20050329	1600	Property Damage	N	FALSE	19.71
20050329	1610	Property Damage	N	FALSE	13.6
20050330	0045	Severe Injury	N	FALSE	13.185
20050330	0630	Property Damage	N	TRUE	18.553
20050330	0915	Property Damage	N	TRUE	6.27
20050330	1235	Property Damage	N	FALSE	21.82
20050330	1430	Visible Injury	S	TRUE	15.7
20050330	1500	Property Damage	S	FALSE	19.05
20050330	2300	Visible Injury	N	FALSE	15.44
20050331	0005	Property Damage	S	TRUE	7.99
20050331	0545	Property Damage	S	FALSE	9.99
20050331	0900	Complaint of Pain	N	FALSE	21.808
20050331	1030	Property Damage	S	TRUE	10.05
20050331	1155	Visible Injury	S	TRUE	10.67
20050331	1200	Property Damage	S	TRUE	11.81
20050331	1240	Property Damage	S	FALSE	18.06
20050331	1440	Property Damage	N	TRUE	21.98
20050331	1600	Property Damage	N	FALSE	23.27
20050331	1615	Property Damage	N	FALSE	7.9
20050331	1930	Property Damage	S	FALSE	26.46
20050401	0705	Property Damage	S	TRUE	23.95
20050401	0800	Property Damage	S	TRUE	17.05
20050401	0837	Complaint of Pain	S	TRUE	19.54
20050401	0930	Property Damage	N	FALSE	6.98
20050401	1555	Complaint of Pain	N	FALSE	6.88
20050402	0040	Property Damage	S	FALSE	22.37
20050402	0225	Complaint of Pain	N	FALSE	9.306
20050402	0805	Property Damage	N	TRUE	14.096
20050402	1310	Property Damage	N	FALSE	12.96
20050402	2145	Complaint of Pain	S	FALSE	17.71
20050402	2240	Complaint of Pain	S	FALSE	24.86
20050403	1600	Property Damage	N	FALSE	19.53
20050404	0730	Property Damage	S	FALSE	16.88
20050404	0752	Property Damage	S	TRUE	12.156
20050404	0835	Property Damage	N	FALSE	19.81
20050404	1119	Property Damage	N	FALSE	18.316
20050404	1515	Complaint of Pain	N	FALSE	20.93
20050404	1700	Property Damage	N	FALSE	18.24
20050404	1735	Property Damage	N	FALSE	8.09
20050404	1810	Property Damage	N	FALSE	18.14
20050406	0110	Property Damage	N	FALSE	9.306
20050406	1000	Property Damage	S	TRUE	21.69
20050406	1335	Property Damage	S	TRUE	24.02
20050406	1700	Property Damage	N	TRUE	23.574
20050406	2312	Property Damage	S	FALSE	17.49
20050406	2313	Complaint of Pain	S	FALSE	17.49
20050407	0640	Complaint of Pain	N	TRUE	26.333
20050407	0805	Property Damage	N	FALSE	27.387
20050407	1434	Property Damage	N	FALSE	10.922
20050407	1634	Property Damage	N	FALSE	6.93
20050407	2225	Visible Injury	S	FALSE	12.871
20050407	2255	Property Damage	N	FALSE	8.87
20050407	2320	Visible Injury	N	FALSE	16.166
20050408	0715	Property Damage	S	FALSE	23.85
20050408	0800	Property Damage	N	TRUE	22.38
20050408	0810	Property Damage	S	FALSE	9.88
20050408	0850	Visible Injury	N	TRUE	5.98
20050408	1130	Property Damage	N	TRUE	10.93
20050408	1200	Visible Injury	S	TRUE	13.74
20050408	1250	Property Damage	N	TRUE	8.67
20050408	1530	Complaint of Pain	N	FALSE	6.287
20050408	2305	Property Damage	N	FALSE	14.4
20050409	0015	Complaint of Pain	N	FALSE	11.14
20050409	0515	Complaint of Pain	S	FALSE	6.331
20050410	1040	Property Damage	S	FALSE	7.08
20050410	1045	Complaint of Pain	N	FALSE	7.85
20050410	1640	Property Damage	N	FALSE	7.69
20050410	2035	Property Damage	S	FALSE	18.313
20050410	2053	Property Damage	N	FALSE	18.317
20050410	2200	Complaint of Pain	S	FALSE	6.66
20050411	0115	Property Damage	S	FALSE	23.707
20050411	0225	Property Damage	N	FALSE	6.44
20050411	0640	Property Damage	S	TRUE	22.94
20050411	0650	Property Damage	N	FALSE	16.89
20050411	1130	Complaint of Pain	S	FALSE	13.339
20050411	1145	Property Damage	S	FALSE	8.17
20050411	1330	Property Damage	N	FALSE	14.096
20050411	1610	Property Damage	N	TRUE	14.15
20050411	1645	Visible Injury	S	TRUE	16.98
20050412	0145	Visible Injury	N	FALSE	16.744
20050412	0850	Property Damage	S	FALSE	13.822
20050412	1040	Property Damage	S	FALSE	13.17
20050412	1115	Property Damage	N	FALSE	23.134
20050412	1145	Complaint of Pain	N	TRUE	9.306
20050412	1350	Property Damage	N	TRUE	19.1
20050412	1440	Complaint of Pain	S	FALSE	18.64
20050412	1840	Property Damage	N	FALSE	23.11
