Amount,iRate,State,IntRate
3225.00,7.62%,CA,0.08
23675.00,17.77%,PA,0.18
12000.00,12.12%,VA,0.12
25000.00,16.49%,MA,0.16
15850.00,11.12%,CA,0.11
4175.00,8.90%,NC,0.09
10000.00,14.09%,CO,0.14
6000.00,7.51%,NJ,0.08
6000.00,13.11%,KS,0.13
7925.00,16.29%,GA,0.16
15925.00,7.62%,IL,0.08
9500.00,15.81%,CA,0.16
6000.00,14.35%,IL,0.14
9975.00,14.96%,FL,0.15
7000.00,6.62%,NM,0.07
4500.00,5.99%,CA,0.06
12000.00,11.14%,MD,0.11
10375.00,19.72%,CT,0.20
4800.00,18.75%,NM,0.19
6400.00,13.11%,LA,0.13
5000.00,7.90%,CA,0.08
12000.00,6.62%,NC,0.07
23820.25,21.48%,NY,0.21
15000.00,10.65%,OH,0.11
8000.00,7.62%,NC,0.08
20000.00,6.03%,FL,0.06
19975.00,13.11%,NC,0.13
10000.00,14.09%,CA,0.14
18825.00,14.09%,MI,0.14
34975.00,7.90%,IL,0.08
9000.00,6.03%,NJ,0.06
4000.00,6.17%,CT,0.06
5750.00,13.99%,CA,0.14
20950.00,15.80%,MA,0.16
8000.00,10.99%,NY,0.11
10000.00,10.16%,TX,0.10
10000.00,14.09%,NY,0.14
14000.00,6.03%,CT,0.06
5000.00,7.66%,RI,0.08
25000.00,19.05%,IL,0.19
35000.00,8.90%,CA,0.09
7175.00,11.14%,OK,0.11
14000.00,8.49%,CA,0.08
14975.00,15.21%,TX,0.15
25000.00,19.72%,NY,0.20
10800.00,14.65%,CA,0.15
20000.00,14.33%,GA,0.14
4000.00,10.74%,KS,0.11
15950.00,15.70%,OH,0.16
1400.00,9.76%,NV,0.10
7500.00,16.32%,CA,0.16
917.28,14.07%,NY,0.14
5000.00,14.09%,FL,0.14
24975.00,9.91%,NY,0.10
7500.00,16.40%,CA,0.16
34450.00,6.62%,CA,0.07
10000.00,5.79%,GA,0.06
3200.00,9.88%,MA,0.10
5500.00,15.99%,RI,0.16
3000.00,9.76%,VA,0.10
18000.00,23.28%,WI,0.23
9700.00,9.63%,OK,0.10
8800.00,13.11%,WI,0.13
7000.00,11.14%,TX,0.11
8000.00,13.11%,AK,0.13
3000.00,17.27%,SC,0.17
11975.00,7.51%,MD,0.08
3575.00,14.11%,WI,0.14
11625.00,14.33%,NY,0.14
30000.00,21.49%,MD,0.21
16000.00,8.90%,CO,0.09
10700.00,10.75%,FL,0.11
23655.48,16.69%,CO,0.17
10000.00,13.98%,MO,0.14
275.00,10.91%,VA,0.11
6000.00,11.48%,NY,0.11
8000.00,13.49%,CO,0.13
15000.00,18.25%,GA,0.18
7000.00,17.77%,NY,0.18
8400.00,6.92%,MD,0.07
15000.00,7.90%,PA,0.08
14925.00,14.33%,TX,0.14
2800.00,10.16%,NY,0.10
7750.00,16.29%,FL,0.16
4500.00,8.90%,UT,0.09
17375.00,12.53%,CO,0.13
18000.00,15.31%,CA,0.15
14975.00,15.27%,PA,0.15
6000.00,15.23%,KS,0.15
11475.00,11.14%,CA,0.11
10000.00,13.11%,PA,0.13
12000.00,8.90%,MD,0.09
10000.00,12.12%,CA,0.12
34975.00,21.28%,AL,0.21
7100.00,10.38%,PA,0.10
3975.00,7.90%,TX,0.08
5200.00,11.14%,UT,0.11
1200.00,7.62%,NY,0.08
2500.00,11.14%,CA,0.11
16975.00,14.33%,MN,0.14
16000.00,7.90%,CA,0.08
9950.00,12.69%,CA,0.13
5000.00,10.16%,AL,0.10
4375.00,19.05%,CA,0.19
8475.00,6.03%,MO,0.06
12000.00,16.89%,OH,0.17
6100.00,8.59%,WI,0.09
7000.00,18.49%,AR,0.18
20800.00,12.69%,GA,0.13
19200.00,13.11%,IL,0.13
22000.00,15.80%,KY,0.16
15000.00,19.05%,AZ,0.19
6965.10,19.47%,NJ,0.19
20000.00,8.90%,CO,0.09
2000.00,6.17%,WA,0.06
17738.58,10.59%,OH,0.11
20775.00,11.48%,CA,0.11
8875.00,7.88%,MA,0.08
6000.00,14.09%,UT,0.14
5000.00,15.80%,CA,0.16
11975.00,14.83%,CA,0.15
1998.00,8.00%,AZ,0.08
5950.00,10.00%,FL,0.10
16975.00,13.98%,TX,0.14
11975.00,8.94%,TX,0.09
16350.00,7.90%,MN,0.08
20000.00,7.90%,TX,0.08
12300.00,12.12%,CA,0.12
4800.00,13.11%,TX,0.13
14500.00,7.90%,IL,0.08
4200.00,8.90%,CA,0.09
22250.00,14.09%,MN,0.14
8000.00,14.09%,IL,0.14
8325.00,17.77%,MO,0.18
14000.00,13.11%,CA,0.13
9000.00,10.16%,MD,0.10
16000.00,13.11%,GA,0.13
13694.22,11.14%,AZ,0.11
24000.00,10.65%,CA,0.11
16450.00,15.31%,OH,0.15
7500.00,12.12%,NH,0.12
4750.00,22.47%,UT,0.22
6500.00,7.90%,AR,0.08
5450.00,18.67%,NY,0.19
9600.00,6.03%,AL,0.06
11975.00,12.12%,NY,0.12
2000.00,7.51%,CA,0.08
18000.00,24.89%,VT,0.25
5825.00,12.12%,AR,0.12
2500.00,15.31%,VA,0.15
7200.00,19.91%,NY,0.20
8000.00,14.33%,MD,0.14
24675.00,20.77%,TX,0.21
2500.00,14.09%,NY,0.14
2050.00,12.84%,MI,0.13
6250.00,13.11%,CT,0.13
12375.00,13.67%,KS,0.14
18000.00,10.16%,NY,0.10
3300.00,6.99%,IL,0.07
21000.00,18.49%,TX,0.18
24575.00,16.29%,GA,0.16
4900.00,7.74%,OH,0.08
20000.00,16.29%,MI,0.16
13250.00,6.62%,IL,0.07
9975.00,8.59%,PA,0.09
19950.00,10.75%,NY,0.11
10000.00,8.49%,FL,0.08
12000.00,12.12%,FL,0.12
7950.00,7.90%,IL,0.08
10950.00,8.94%,AK,0.09
12425.00,7.49%,MD,0.07
0.00,11.03%,AL,0.11
4825.00,10.16%,UT,0.10
7550.00,16.89%,AL,0.17
7827.03,14.35%,NY,0.14
6000.00,14.09%,KS,0.14
8000.00,15.57%,IL,0.16
3000.00,14.59%,IL,0.15
7997.79,16.29%,NY,0.16
8400.00,5.99%,TX,0.06
35000.00,14.65%,MA,0.15
15000.00,7.90%,NY,0.08
7475.00,10.99%,TX,0.11
23665.54,9.62%,DC,0.10
20975.00,20.50%,NY,0.21
6000.00,7.62%,CA,0.08
4500.00,6.91%,MD,0.07
29000.00,17.77%,MA,0.18
20000.00,15.31%,CA,0.15
7000.00,10.16%,IL,0.10
4950.00,10.36%,NJ,0.10
6000.00,17.27%,IL,0.17
10000.00,15.27%,IL,0.15
3200.00,17.49%,AR,0.17
23000.00,17.77%,MD,0.18
1750.04,11.54%,NY,0.12
3000.00,12.69%,CA,0.13
11975.00,10.74%,VA,0.11
19975.00,13.99%,NY,0.14
1200.00,15.80%,MI,0.16
8000.00,6.62%,FL,0.07
9975.00,16.49%,IL,0.16
11000.00,13.06%,NC,0.13
18000.00,16.29%,CA,0.16
23975.00,17.49%,OR,0.17
7925.00,18.75%,WA,0.19
6000.00,11.71%,MI,0.12
34950.00,17.27%,CA,0.17
750.00,10.36%,GA,0.10
10000.00,15.31%,CA,0.15
6000.00,15.80%,NY,0.16
4000.00,6.03%,CA,0.06
20000.00,11.71%,IL,0.12
690.34,14.12%,IA,0.14
24000.00,19.99%,AZ,0.20
8000.00,14.09%,CA,0.14
12000.00,6.62%,MA,0.07
17600.00,8.90%,CO,0.09
512.46,12.92%,CA,0.13
8000.00,18.67%,CA,0.19
9850.00,9.88%,KY,0.10
16800.00,6.62%,SC,0.07
6450.00,10.38%,KY,0.10
35000.00,7.90%,TX,0.08
9950.00,14.33%,NJ,0.14
5000.00,9.91%,OH,0.10
10000.00,19.05%,FL,0.19
6000.00,13.11%,PA,0.13
35000.00,7.90%,VA,0.08
5600.00,7.90%,FL,0.08
17000.00,7.90%,NJ,0.08
15000.00,12.99%,NY,0.13
3000.00,11.14%,NY,0.11
12000.00,17.77%,MA,0.18
25000.00,14.27%,MA,0.14
31050.00,20.49%,MA,0.20
4750.00,14.33%,SC,0.14
6375.00,11.71%,VA,0.12
25000.00,9.91%,FL,0.10
4975.00,6.03%,PA,0.06
12000.00,11.99%,GA,0.12
20000.00,19.72%,VA,0.20
10000.00,15.96%,CA,0.16
9750.00,20.49%,WA,0.20
10000.00,14.09%,RI,0.14
2057.84,10.46%,IL,0.10
25000.00,19.72%,MN,0.20
5000.00,14.22%,CA,0.14
6500.00,5.79%,TX,0.06
8325.00,15.31%,NY,0.15
20000.00,15.31%,FL,0.15
12000.00,12.12%,AL,0.12
9475.00,10.38%,NM,0.10
11862.38,5.79%,WI,0.06
7200.00,11.49%,CA,0.11
8500.00,10.16%,NV,0.10
17475.00,19.05%,IL,0.19
10000.00,12.12%,TX,0.12
17975.00,22.47%,FL,0.22
4775.00,5.42%,NH,0.05
5000.00,7.90%,NC,0.08
19925.00,12.12%,TX,0.12
12300.00,15.31%,OH,0.15
27950.00,22.78%,LA,0.23
1675.00,11.11%,CA,0.11
7500.00,17.04%,CA,0.17
9200.00,12.61%,WI,0.13
8000.00,15.80%,OK,0.16
5000.00,10.99%,NJ,0.11
19125.00,18.25%,CA,0.18
5050.00,5.99%,PA,0.06
6975.00,9.62%,IL,0.10
5000.00,12.12%,WA,0.12
33500.00,13.49%,AZ,0.13
2225.00,14.65%,WV,0.15
4000.00,10.16%,IL,0.10
16000.00,7.90%,CA,0.08
15500.00,17.77%,VA,0.18
16000.00,13.11%,OK,0.13
9000.00,13.06%,CA,0.13
18275.00,16.49%,TX,0.16
19900.00,18.17%,CA,0.18
30000.00,22.78%,CA,0.23
10000.00,10.59%,CA,0.11
14000.00,19.05%,IL,0.19
4525.00,7.43%,NY,0.07
18000.00,15.31%,FL,0.15
10000.00,6.62%,WA,0.07
25975.00,13.11%,WA,0.13
10350.00,14.09%,NY,0.14
10850.00,17.77%,PA,0.18
4075.00,5.42%,NC,0.05
10168.89,10.75%,CA,0.11
12000.00,10.16%,VA,0.10
1000.00,22.95%,NY,0.23
5900.00,13.11%,FL,0.13
9925.00,13.11%,MI,0.13
7200.00,6.03%,NY,0.06
14750.00,16.77%,NM,0.17
4975.00,16.70%,FL,0.17
20000.00,14.91%,VA,0.15
18375.00,19.42%,VA,0.19
4167.97,14.11%,PA,0.14
17994.17,13.99%,PA,0.14
8000.00,12.12%,MA,0.12
4000.00,8.90%,CA,0.09
6000.00,13.11%,NY,0.13
6100.00,10.25%,FL,0.10
5375.00,14.09%,TX,0.14
8875.00,15.31%,SC,0.15
7000.00,10.65%,CA,0.11
12000.00,15.31%,VA,0.15
21250.00,18.75%,LA,0.19
3600.00,19.72%,KS,0.20
12000.00,14.33%,KY,0.14
10050.00,14.33%,CA,0.14
4025.00,8.90%,CA,0.09
5000.00,6.62%,GA,0.07
16400.00,11.71%,OH,0.12
10000.00,7.29%,CA,0.07
-0.01,12.29%,CA,0.12
10000.00,6.03%,OH,0.06
10000.00,8.90%,MN,0.09
18000.00,7.90%,GA,0.08
7000.00,16.29%,TX,0.16
21975.00,22.47%,WV,0.22
6000.00,13.11%,WA,0.13
5600.00,6.62%,NC,0.07
9500.00,12.12%,MO,0.12
12000.00,13.11%,SC,0.13
7200.00,10.37%,FL,0.10
5000.00,15.80%,NC,0.16
8086.75,15.96%,NY,0.16
30000.00,22.47%,NY,0.22
10075.00,15.81%,DE,0.16
9050.00,13.11%,MI,0.13
17500.00,10.16%,CA,0.10
5334.01,6.91%,TX,0.07
10000.00,8.90%,MO,0.09
8500.00,15.80%,MI,0.16
15975.00,14.65%,NC,0.15
2350.00,14.09%,WA,0.14
9924.07,7.29%,NY,0.07
24975.00,15.80%,MA,0.16
8000.00,14.33%,CA,0.14
6000.00,13.11%,OH,0.13
4000.00,13.11%,NY,0.13
11500.00,11.14%,WA,0.11
12000.00,9.91%,WA,0.10
13914.17,16.49%,FL,0.16
5000.00,12.68%,FL,0.13
6000.00,7.90%,IL,0.08
18225.00,16.29%,PA,0.16
15000.00,10.38%,IL,0.10
3882.78,5.79%,OH,0.06
27000.00,12.12%,TX,0.12
14925.00,13.85%,NY,0.14
4950.00,10.16%,CA,0.10
20925.00,10.00%,CA,0.10
9000.00,15.31%,NY,0.15
21000.00,18.75%,NM,0.19
8000.00,19.05%,NY,0.19
21457.14,6.91%,NH,0.07
10000.00,14.65%,OH,0.15
4947.35,9.99%,CA,0.10
5350.00,10.16%,NJ,0.10
10000.00,12.42%,CA,0.12
23975.00,10.16%,OH,0.10
24000.00,7.90%,GA,0.08
15450.00,14.09%,SC,0.14
25000.00,21.00%,NY,0.21
12975.00,9.91%,CA,0.10
7550.00,7.62%,AZ,0.08
9600.00,15.31%,AR,0.15
14950.00,15.21%,CA,0.15
6975.00,14.11%,NJ,0.14
1000.00,15.31%,TX,0.15
24798.43,12.87%,MA,0.13
24000.00,14.33%,GA,0.14
21000.00,18.49%,CO,0.18
1000.00,13.11%,AZ,0.13
16000.00,9.63%,SC,0.10
24400.00,17.27%,CA,0.17
14675.00,7.90%,NY,0.08
12000.00,19.05%,KS,0.19
8000.00,13.11%,TX,0.13
12000.00,13.11%,FL,0.13
10075.00,10.99%,MN,0.11
14500.00,14.33%,CA,0.14
3925.00,16.63%,NJ,0.17
28625.00,13.11%,TX,0.13
21000.00,22.95%,NJ,0.23
7500.00,9.76%,IL,0.10
11775.00,10.38%,OR,0.10
3600.00,13.67%,CA,0.14
16000.00,15.31%,TX,0.15
20500.00,23.28%,CA,0.23
10000.00,18.25%,CA,0.18
15000.00,17.49%,CT,0.17
10000.00,11.99%,CA,0.12
11000.00,11.71%,TX,0.12
25000.00,19.05%,VA,0.19
15000.00,10.16%,IL,0.10
5600.00,14.09%,SC,0.14
20000.00,11.71%,CA,0.12
25450.00,19.72%,FL,0.20
7000.00,11.12%,TX,0.11
10400.00,12.12%,MA,0.12
24975.00,14.84%,NY,0.15
13000.00,11.97%,KS,0.12
15800.00,17.43%,FL,0.17
15000.00,7.90%,CA,0.08
24625.00,19.72%,NY,0.20
21850.00,13.11%,MN,0.13
6000.00,15.31%,NC,0.15
6636.91,16.00%,GA,0.16
9225.43,12.21%,MA,0.12
5775.00,15.31%,SC,0.15
14475.00,15.27%,NJ,0.15
8000.00,17.27%,IL,0.17
15000.00,12.12%,FL,0.12
10000.00,17.77%,PA,0.18
5600.00,13.49%,NY,0.13
10000.00,16.32%,WV,0.16
13000.00,14.09%,PA,0.14
10825.00,9.99%,AZ,0.10
2100.00,12.12%,MN,0.12
12000.00,12.12%,NV,0.12
1000.00,13.16%,MI,0.13
16000.00,14.09%,PA,0.14
14000.00,7.90%,IL,0.08
14000.00,10.16%,CA,0.10
3850.00,12.21%,NY,0.12
15865.55,11.14%,AZ,0.11
7350.00,10.74%,WA,0.11
9500.00,10.25%,NY,0.10
19796.41,11.36%,PA,0.11
7000.00,7.14%,MN,0.07
6000.00,12.12%,CA,0.12
12000.00,10.00%,WI,0.10
4225.00,6.03%,NY,0.06
1973.77,12.29%,CT,0.12
2500.00,6.76%,WI,0.07
4775.00,14.84%,CA,0.15
6000.00,15.96%,MI,0.16
6000.00,6.03%,AL,0.06
1800.00,15.31%,OK,0.15
7200.00,15.80%,FL,0.16
6000.00,12.12%,TX,0.12
14850.00,11.14%,OH,0.11
5000.00,9.32%,MN,0.09
10500.00,17.77%,PA,0.18
6625.00,17.77%,CA,0.18
16000.00,22.47%,CA,0.22
22000.00,16.29%,WI,0.16
5000.00,15.21%,CA,0.15
20000.00,8.90%,IL,0.09
1500.00,13.06%,TX,0.13
8000.00,7.49%,CT,0.07
18225.00,16.29%,AL,0.16
5000.00,7.62%,OH,0.08
10000.00,13.99%,NC,0.14
8000.00,17.77%,MN,0.18
6000.00,10.75%,NJ,0.11
24225.00,18.62%,RI,0.19
8700.00,12.69%,NY,0.13
20375.00,14.65%,VA,0.15
9000.00,6.62%,MT,0.07
16100.00,11.14%,MO,0.11
35000.00,21.00%,LA,0.21
4600.00,7.66%,MO,0.08
5325.00,14.18%,MO,0.14
5000.00,11.14%,NY,0.11
5500.00,19.05%,GA,0.19
15800.00,13.98%,PA,0.14
5000.00,14.09%,AZ,0.14
10000.00,14.65%,CA,0.15
13975.00,11.89%,AL,0.12
10000.00,17.14%,MA,0.17
17000.00,9.76%,NJ,0.10
25000.00,22.47%,TX,0.22
5000.00,7.90%,NY,0.08
6000.00,13.11%,RI,0.13
8000.00,17.27%,NY,0.17
12000.00,14.09%,CA,0.14
3000.00,8.94%,NY,0.09
5000.00,6.17%,NY,0.06
3200.00,10.16%,CA,0.10
7625.00,18.49%,NC,0.18
3000.00,22.11%,MN,0.22
5000.00,11.49%,NC,0.11
18500.00,12.99%,NY,0.13
18000.00,14.09%,OR,0.14
4200.00,10.59%,GA,0.11
4975.00,7.29%,GA,0.07
19000.00,11.71%,NJ,0.12
15000.00,16.77%,MD,0.17
18625.00,19.72%,AL,0.20
6075.00,7.62%,OR,0.08
12500.00,15.31%,TX,0.15
5000.00,15.31%,CA,0.15
10000.00,12.12%,MA,0.12
8000.00,16.77%,TX,0.17
19975.00,15.81%,CO,0.16
9600.00,13.49%,PA,0.13
3600.00,9.76%,MI,0.10
14075.00,18.75%,NY,0.19
3000.00,7.51%,CT,0.08
34975.00,10.16%,NY,0.10
1700.00,6.99%,VA,0.07
8800.00,7.51%,PA,0.08
23985.41,12.18%,CA,0.12
10166.42,11.14%,MA,0.11
6000.00,15.96%,CA,0.16
15000.00,10.16%,CA,0.10
15000.00,14.33%,MD,0.14
10000.00,13.11%,CA,0.13
5950.00,12.12%,FL,0.12
10000.00,10.99%,NY,0.11
4000.00,15.23%,MA,0.15
14675.00,7.88%,VA,0.08
9850.00,15.31%,NY,0.15
8875.00,13.11%,TX,0.13
2400.00,10.74%,NY,0.11
24950.00,20.53%,NJ,0.21
5500.00,16.07%,FL,0.16
6000.00,12.53%,PA,0.13
18000.00,19.05%,MD,0.19
27975.00,7.90%,WA,0.08
32000.00,16.29%,AZ,0.16
6000.00,13.11%,NY,0.13
7200.00,8.90%,LA,0.09
11500.00,11.14%,AL,0.11
4800.00,5.42%,FL,0.05
4000.00,10.65%,NC,0.11
15000.00,10.65%,CA,0.11
15000.00,17.99%,TX,0.18
25000.00,12.42%,CA,0.12
4800.00,18.75%,TX,0.19
9500.00,6.62%,GA,0.07
6200.00,12.53%,MO,0.13
6000.00,13.98%,CO,0.14
12300.00,6.03%,VA,0.06
23950.00,7.51%,PA,0.08
1975.00,11.12%,NY,0.11
14000.00,9.76%,NJ,0.10
10000.00,12.12%,NJ,0.12
8113.74,9.63%,TX,0.10
5000.00,16.29%,VA,0.16
5994.00,12.42%,VA,0.12
10050.00,14.33%,CA,0.14
4800.00,7.90%,OH,0.08
14400.00,10.74%,CA,0.11
11625.00,15.31%,CA,0.15
18200.00,10.16%,NY,0.10
19875.00,13.35%,TX,0.13
9575.00,17.27%,NY,0.17
9000.00,11.83%,MD,0.12
35000.00,18.25%,MD,0.18
1900.00,7.51%,PA,0.08
19896.51,13.67%,FL,0.14
2400.00,10.37%,MN,0.10
4500.00,11.71%,CA,0.12
12000.00,12.12%,TX,0.12
8175.26,8.63%,GA,0.09
11575.00,7.90%,TX,0.08
20000.00,6.62%,DC,0.07
3475.00,14.70%,MD,0.15
2800.00,10.00%,CA,0.10
6000.00,14.09%,CA,0.14
14750.00,6.91%,CO,0.07
22000.00,13.99%,MI,0.14
10000.00,13.11%,MI,0.13
9450.00,12.12%,IL,0.12
10325.00,7.66%,CA,0.08
15818.07,15.28%,CA,0.15
18000.00,12.12%,VA,0.12
8000.00,8.90%,NY,0.09
12000.00,14.33%,NY,0.14
12150.00,6.54%,NY,0.07
10000.00,16.77%,CA,0.17
23475.00,19.03%,MD,0.19
10000.00,12.12%,CA,0.12
3600.00,7.90%,OH,0.08
12000.00,17.49%,OR,0.17
6950.00,10.74%,IL,0.11
8525.00,10.16%,MT,0.10
5000.00,14.33%,CO,0.14
4800.00,18.25%,OR,0.18
6000.00,13.35%,NV,0.13
4000.00,19.22%,VA,0.19
14000.00,6.03%,CA,0.06
23450.00,14.65%,CA,0.15
2500.00,15.95%,CA,0.16
2000.00,6.17%,CA,0.06
23925.00,16.29%,NJ,0.16
12800.00,11.49%,CT,0.11
8000.00,7.90%,CA,0.08
3000.00,9.99%,MO,0.10
7000.00,7.90%,FL,0.08
17975.00,13.48%,IL,0.13
5975.00,14.11%,CA,0.14
11000.00,10.99%,SC,0.11
6000.00,7.90%,IL,0.08
6475.00,7.74%,NH,0.08
19500.00,18.49%,MD,0.18
16000.00,17.27%,MD,0.17
17950.00,14.33%,KS,0.14
29975.00,23.33%,FL,0.23
10000.00,14.09%,LA,0.14
15900.00,15.58%,WA,0.16
35000.00,17.58%,MA,0.18
8000.00,13.72%,TX,0.14
14500.00,13.11%,WA,0.13
11925.00,10.62%,VA,0.11
4500.00,13.43%,CA,0.13
16350.00,11.83%,TX,0.12
10000.00,9.91%,MN,0.10
35000.00,19.05%,CA,0.19
6165.31,11.09%,CA,0.11
6725.00,15.45%,MD,0.15
6000.00,7.90%,TX,0.08
12000.00,19.22%,CT,0.19
12100.00,16.89%,TX,0.17
25000.00,14.09%,MD,0.14
15925.00,6.03%,CA,0.06
27000.00,18.25%,SC,0.18
12250.00,18.75%,LA,0.19
10000.00,17.77%,AZ,0.18
9175.00,13.67%,IL,0.14
14075.00,15.31%,VA,0.15
13100.00,18.55%,NY,0.19
14675.00,8.90%,NY,0.09
4900.00,11.14%,FL,0.11
18000.00,13.11%,OR,0.13
12000.00,7.62%,CO,0.08
19400.00,14.33%,MA,0.14
18000.00,12.12%,IL,0.12
12000.00,17.77%,NY,0.18
8000.00,13.11%,MN,0.13
23750.00,19.72%,CT,0.20
7475.00,15.58%,VA,0.16
5500.00,12.69%,OH,0.13
16950.00,17.27%,OK,0.17
2950.00,11.14%,VA,0.11
1600.00,13.49%,CA,0.13
6000.00,7.49%,NC,0.07
7350.00,12.12%,CA,0.12
12825.00,17.77%,CA,0.18
23975.00,21.00%,OK,0.21
10000.00,18.49%,FL,0.18
5500.00,14.33%,WV,0.14
17500.00,14.72%,CA,0.15
10000.00,13.11%,OH,0.13
16275.00,6.17%,MD,0.06
11600.00,6.99%,CA,0.07
12000.00,13.99%,CT,0.14
6770.10,11.26%,CA,0.11
8550.00,17.27%,NY,0.17
6100.00,14.09%,LA,0.14
14000.00,15.31%,PA,0.15
10500.00,14.33%,FL,0.14
19525.00,21.49%,CA,0.21
15000.00,15.80%,NV,0.16
8000.00,17.27%,AZ,0.17
20000.00,21.49%,TX,0.21
10969.64,12.53%,IL,0.13
5905.66,17.90%,MI,0.18
12000.00,11.14%,CA,0.11
17000.00,13.11%,CA,0.13
6250.00,7.90%,IL,0.08
27825.00,23.76%,CA,0.24
30000.00,15.31%,NJ,0.15
3969.90,14.11%,OH,0.14
3800.00,21.98%,CA,0.22
2000.00,15.31%,NC,0.15
6000.00,14.09%,AZ,0.14
21000.00,19.05%,TX,0.19
2500.00,13.49%,NY,0.13
2400.00,16.77%,WA,0.17
13000.00,10.74%,CA,0.11
4800.00,14.65%,HI,0.15
17475.00,9.91%,NJ,0.10
16400.00,21.97%,PA,0.22
14000.00,14.65%,CA,0.15
2500.00,17.27%,OH,0.17
8000.00,18.49%,VA,0.18
5000.00,12.53%,FL,0.13
15000.00,13.11%,MA,0.13
24814.89,12.69%,NY,0.13
2975.00,8.90%,FL,0.09
6000.00,7.90%,WI,0.08
7800.00,10.65%,CO,0.11
25000.00,7.90%,MI,0.08
3100.00,15.33%,NY,0.15
12000.00,12.99%,GA,0.13
5000.00,15.99%,AL,0.16
2500.00,10.59%,MD,0.11
16000.00,16.29%,NC,0.16
25000.00,15.31%,NY,0.15
2000.00,16.89%,AR,0.17
2200.00,10.16%,GA,0.10
13825.00,10.25%,GA,0.10
3000.00,13.11%,SD,0.13
11400.00,9.91%,FL,0.10
17325.00,17.27%,CA,0.17
5425.00,8.49%,WV,0.08
20000.00,22.78%,CA,0.23
3300.00,11.71%,FL,0.12
2000.00,17.27%,GA,0.17
26500.00,13.11%,CA,0.13
17975.00,18.55%,FL,0.19
14925.21,13.47%,NY,0.13
16350.00,13.99%,FL,0.14
13500.00,13.99%,OR,0.14
12000.00,15.27%,AZ,0.15
16750.00,21.48%,HI,0.21
8000.00,12.18%,MA,0.12
10000.00,9.76%,LA,0.10
10000.00,15.21%,CA,0.15
5525.00,13.85%,CA,0.14
17200.00,19.69%,CO,0.20
19575.00,16.29%,NY,0.16
4000.00,11.48%,TX,0.11
13000.00,13.11%,NH,0.13
7850.00,9.63%,KS,0.10
5640.70,10.08%,MA,0.10
19900.00,10.25%,NY,0.10
27575.00,17.27%,WA,0.17
24000.00,14.33%,CA,0.14
7000.00,18.49%,IL,0.18
11975.00,16.77%,MD,0.17
14000.00,19.03%,CA,0.19
9975.00,11.14%,CA,0.11
7750.00,6.03%,CO,0.06
11550.00,13.67%,TX,0.14
14950.00,11.86%,AR,0.12
25000.00,15.31%,CA,0.15
14975.00,14.91%,NC,0.15
5000.00,16.29%,CT,0.16
5000.00,12.98%,PA,0.13
35000.00,15.31%,NJ,0.15
6025.00,15.37%,CA,0.15
